Team,Rank,RankPoints
Argentina,1,1858
France,2,1845
Brazil,3,1834
England,4,1812
Belgium,5,1795
Portugal,6,1788
Netherlands,7,1765
Spain,8,1758
Germany,9,1745
Italy,10,1738
Croatia,11,1728
USA,12,1720
Mexico,13,1715
Uruguay,14,1712
Colombia,15,1708
Denmark,16,1705
Switzerland,17,1698
Japan,18,1695
Morocco,19,1692
Senegal,20,1688
Iran,21,1685
South Korea,22,1682
Australia,23,1678
Saudi Arabia,24,1675
Nigeria,25,1672
Canada,26,1668
Ecuador,27,1665
Peru,28,1662
Chile,29,1658
Paraguay,30,1655
Costa Rica,31,1652
Panama,32,1648
Venezuela,33,1645
Cameroon,34,1642
Serbia,35,1640
Ghana,36,1638
Tunisia,37,1635
Poland,38,1635
Algeria,39,1632
Egypt,40,1628
Ukraine,41,1628
Ivory Coast,42,1625
Sweden,43,1625
Mali,44,1622
Norway,45,1622
Burkina Faso,46,1618
Scotland,47,1618
Congo DR,48,1615
Wales,49,1615
South Africa,50,1612
Austria,51,1612
Turkey,52,1608
Czech Republic,53,1605
Hungary,54,1602
New Zealand,55,1580
Qatar,56,1575
